elem_id,elem_type,n1,n2,n3,n4,n5,n6,n7,n8,part_name
1,C3D8R,205556,205557,205612,205611,200001,200002,200057,200056,Core
2,C3D8R,205557,205558,205613,205612,200002,200003,200058,200057,Core
3,C3D8R,205558,205559,205614,205613,200003,200004,200059,200058,Core
4,C3D8R,205559,205560,205615,205614,200004,200005,200060,200059,Core
5,C3D8R,205560,205561,205616,205615,200005,200006,200061,200060,Core
6,C3D8R,205561,205562,205617,205616,200006,200007,200062,200061,Core
7,C3D8R,205562,205563,205618,205617,200007,200008,200063,200062,Core
8,C3D8R,205563,205564,205619,205618,200008,200009,200064,200063,Core
9,C3D8R,205564,205565,205620,205619,200009,200010,200065,200064,Core
10,C3D8R,205565,205566,205621,205620,200010,200011,200066,200065,Core
11,C3D8R,205566,205567,205622,205621,200011,200012,200067,200066,Core
12,C3D8R,205567,205568,205623,205622,200012,200013,200068,200067,Core
13,C3D8R,205568,205569,205624,205623,200013,200014,200069,200068,Core
14,C3D8R,205569,205570,205625,205624,200014,200015,200070,200069,Core
15,C3D8R,205570,205571,205626,205625,200015,200016,200071,200070,Core
16,C3D8R,205571,205572,205627,205626,200016,200017,200072,200071,Core
17,C3D8R,205572,205573,205628,205627,200017,200018,200073,200072,Core
18,C3D8R,205573,205574,205629,205628,200018,200019,200074,200073,Core
19,C3D8R,205574,205575,205630,205629,200019,200020,200075,200074,Core
20,C3D8R,205575,205576,205631,205630,200020,200021,200076,200075,Core
21,C3D8R,205576,205577,205632,205631,200021,200022,200077,200076,Core
22,C3D8R,205577,205578,205633,205632,200022,200023,200078,200077,Core
23,C3D8R,205578,205579,205634,205633,200023,200024,200079,200078,Core
24,C3D8R,205579,205580,205635,205634,200024,200025,200080,200079,Core
25,C3D8R,205580,205581,205636,205635,200025,200026,200081,200080,Core
26,C3D8R,205581,205582,205637,205636,200026,200027,200082,200081,Core
27,C3D8R,205582,205583,205638,205637,200027,200028,200083,200082,Core
28,C3D8R,205583,205584,205639,205638,200028,200029,200084,200083,Core
29,C3D8R,205584,205585,205640,205639,200029,200030,200085,200084,Core
