elem_id,elem_type,n1,n2,n3,n4,n5,n6,n7,n8,part_name
1,C3D8R,200134,200140,201332,201217,200001,200002,200033,200078,Core
2,C3D8R,201217,201332,201333,201218,200078,200033,200034,200077,Core
3,C3D8R,201218,201333,201334,201219,200077,200034,200035,200076,Core
4,C3D8R,201219,201334,201335,201220,200076,200035,200036,200075,Core
5,C3D8R,201220,201335,201336,201221,200075,200036,200037,200074,Core
6,C3D8R,201221,201336,201337,201222,200074,200037,200038,200073,Core
7,C3D8R,201222,201337,201338,201223,200073,200038,200039,200072,Core
8,C3D8R,201223,201338,201339,201224,200072,200039,200040,200071,Core
9,C3D8R,201224,201339,201340,201225,200071,200040,200041,200070,Core
10,C3D8R,201225,201340,201341,201226,200070,200041,200042,200069,Core
11,C3D8R,201226,201341,201342,201227,200069,200042,200043,200068,Core
12,C3D8R,201227,201342,201343,201228,200068,200043,200044,200067,Core
13,C3D8R,201228,201343,201344,201229,200067,200044,200045,200066,Core
14,C3D8R,201229,201344,201345,201230,200066,200045,200046,200065,Core
15,C3D8R,201230,201345,201346,201231,200065,200046,200047,200064,Core
16,C3D8R,201231,201346,201347,201232,200064,200047,200048,200063,Core
17,C3D8R,201232,201347,201348,201233,200063,200048,200049,200062,Core
18,C3D8R,201233,201348,201349,201234,200062,200049,200050,200061,Core
19,C3D8R,201234,201349,201350,201235,200061,200050,200051,200060,Core
20,C3D8R,201235,201350,201351,201236,200060,200051,200052,200059,Core
21,C3D8R,201236,201351,201352,201237,200059,200052,200053,200058,Core
22,C3D8R,201237,201352,201353,201238,200058,200053,200054,200057,Core
23,C3D8R,201238,201353,201354,201239,200057,200054,200055,200056,Core
24,C3D8R,201239,201354,200139,200125,200056,200055,200003,200004,Core
25,C3D8R,200133,200141,201355,201240,200134,200140,201332,201217,Core
26,C3D8R,201240,201355,201356,201241,201217,201332,201333,201218,Core
27,C3D8R,201241,201356,201357,201242,201218,201333,201334,201219,Core
28,C3D8R,201242,201357,201358,201243,201219,201334,201335,201220,Core
29,C3D8R,201243,201358,201359,201244,201220,201335,201336,201221,Core
30,C3D8R,201244,201359,201360,201245,201221,201336,201337,201222,Core
31,C3D8R,201245,201360,201361,201246,201222,201337,201338,201223,Core
32,C3D8R,201246,201361,201362,201247,201223,201338,201339,201224,Core
33,C3D8R,201247,201362,201363,201248,201224,201339,201340,201225,Core
34,C3D8R,201248,201363,201364,201249,201225,201340,201341,201226,Core
35,C3D8R,201249,201364,201365,201250,201226,201341,201342,201227,Core
36,C3D8R,201250,201365,201366,201251,201227,201342,201343,201228,Core
37,C3D8R,201251,201366,201367,201252,201228,201343,201344,201229,Core
38,C3D8R,201252,201367,201368,201253,201229,201344,201345,201230,Core
39,C3D8R,201253,201368,201369,201254,201230,201345,201346,201231,Core
40,C3D8R,201254,201369,201370,201255,201231,201346,201347,201232,Core
41,C3D8R,201255,201370,201371,201256,201232,201347,201348,201233,Core
42,C3D8R,201256,201371,201372,201257,201233,201348,201349,201234,Core
43,C3D8R,201257,201372,201373,201258,201234,201349,201350,201235,Core
44,C3D8R,201258,201373,201374,201259,201235,201350,201351,201236,Core
45,C3D8R,201259,201374,201375,201260,201236,201351,201352,201237,Core
46,C3D8R,201260,201375,201376,201261,201237,201352,201353,201238,Core
47,C3D8R,201261,201376,201377,201262,201238,201353,201354,201239,Core
48,C3D8R,201262,201377,200138,200126,201239,201354,200139,200125,Core
49,C3D8R,200132,200142,201378,201263,200133,200141,201355,201240,Core
50,C3D8R,201263,201378,201379,201264,201240,201355,201356,201241,Core
51,C3D8R,201264,201379,201380,201265,201241,201356,201357,201242,Core
52,C3D8R,201265,201380,201381,201266,201242,201357,201358,201243,Core
53,C3D8R,201266,201381,201382,201267,201243,201358,201359,201244,Core
54,C3D8R,201267,201382,201383,201268,201244,201359,201360,201245,Core
55,C3D8R,201268,201383,201384,201269,201245,201360,201361,201246,Core
56,C3D8R,201269,201384,201385,201270,201246,201361,201362,201247,Core
57,C3D8R,201270,201385,201386,201271,201247,201362,201363,201248,Core
58,C3D8R,201271,201386,201387,201272,201248,201363,201364,201249,Core
59,C3D8R,201272,201387,201388,201273,201249,201364,201365,201250,Core
60,C3D8R,201273,201388,201389,201274,201250,201365,201366,201251,Core
61,C3D8R,201274,201389,201390,201275,201251,201366,201367,201252,Core
62,C3D8R,201275,201390,201391,201276,201252,201367,201368,201253,Core
63,C3D8R,201276,201391,201392,201277,201253,201368,201369,201254,Core
64,C3D8R,201277,201392,201393,201278,201254,201369,201370,201255,Core
65,C3D8R,201278,201393,201394,201279,201255,201370,201371,201256,Core
66,C3D8R,201279,201394,201395,201280,201256,201371,201372,201257,Core
67,C3D8R,201280,201395,201396,201281,201257,201372,201373,201258,Core
68,C3D8R,201281,201396,201397,201282,201258,201373,201374,201259,Core
69,C3D8R,201282,201397,201398,201283,201259,201374,201375,201260,Core
70,C3D8R,201283,201398,201399,201284,201260,201375,201376,201261,Core
71,C3D8R,201284,201399,201400,201285,201261,201376,201377,201262,Core
72,C3D8R,201285,201400,200137,200127,201262,201377,200138,200126,Core
73,C3D8R,200131,200143,201401,201286,200132,200142,201378,201263,Core
74,C3D8R,201286,201401,201402,201287,201263,201378,201379,201264,Core
75,C3D8R,201287,201402,201403,201288,201264,201379,201380,201265,Core
76,C3D8R,201288,201403,201404,201289,201265,201380,201381,201266,Core
77,C3D8R,201289,201404,201405,201290,201266,201381,201382,201267,Core
78,C3D8R,201290,201405,201406,201291,201267,201382,201383,201268,Core
79,C3D8R,201291,201406,201407,201292,201268,201383,201384,201269,Core
80,C3D8R,201292,201407,201408,201293,201269,201384,201385,201270,Core
81,C3D8R,201293,201408,201409,201294,201270,201385,201386,201271,Core
82,C3D8R,201294,201409,201410,201295,201271,201386,201387,201272,Core
83,C3D8R,201295,201410,201411,201296,201272,201387,201388,201273,Core
84,C3D8R,201296,201411,201412,201297,201273,201388,201389,201274,Core
85,C3D8R,201297,201412,201413,201298,201274,201389,201390,201275,Core
86,C3D8R,201298,201413,201414,201299,201275,201390,201391,201276,Core
87,C3D8R,201299,201414,201415,201300,201276,201391,201392,201277,Core
88,C3D8R,201300,201415,201416,201301,201277,201392,201393,201278,Core
89,C3D8R,201301,201416,201417,201302,201278,201393,201394,201279,Core
90,C3D8R,201302,201417,201418,201303,201279,201394,201395,201280,Core
91,C3D8R,201303,201418,201419,201304,201280,201395,201396,201281,Core
92,C3D8R,201304,201419,201420,201305,201281,201396,201397,201282,Core
93,C3D8R,201305,201420,201421,201306,201282,201397,201398,201283,Core
94,C3D8R,201306,201421,201422,201307,201283,201398,201399,201284,Core
95,C3D8R,201307,201422,201423,201308,201284,201399,201400,201285,Core
96,C3D8R,201308,201423,200136,200128,201285,201400,200137,200127,Core
97,C3D8R,200130,200144,201424,201309,200131,200143,201401,201286,Core
98,C3D8R,201309,201424,201425,201310,201286,201401,201402,201287,Core
99,C3D8R,201310,201425,201426,201311,201287,201402,201403,201288,Core
100,C3D8R,201311,201426,201427,201312,201288,201403,201404,201289,Core
101,C3D8R,201312,201427,201428,201313,201289,201404,201405,201290,Core
102,C3D8R,201313,201428,201429,201314,201290,201405,201406,201291,Core
103,C3D8R,201314,201429,201430,201315,201291,201406,201407,201292,Core
104,C3D8R,201315,201430,201431,201316,201292,201407,201408,201293,Core
