elem_id,elem_type,n1,n2,n3,n4,mises_avg
1,S4R,1,122,5774,213,64.10855865478516
2,S4R,122,123,5775,5774,37.10054016113281
3,S4R,123,124,5776,5775,23.06946563720703
4,S4R,124,125,5777,5776,14.535277366638184
5,S4R,125,2,126,5777,14.584210395812988
6,S4R,213,5774,5778,212,63.003273010253906
7,S4R,5774,5775,5779,5778,37.808753967285156
8,S4R,5775,5776,5780,5779,20.95828628540039
9,S4R,5776,5777,5781,5780,17.612037658691406
10,S4R,5777,126,127,5781,11.599343299865723
11,S4R,212,5778,5782,211,63.36288833618164
12,S4R,5778,5779,5783,5782,36.90924835205078
13,S4R,5779,5780,5784,5783,21.126760482788086
14,S4R,5780,5781,5785,5784,18.308996200561523
15,S4R,5781,127,128,5785,9.016338348388672
16,S4R,211,5782,5786,210,63.22921371459961
17,S4R,5782,5783,5787,5786,36.22093200683594
18,S4R,5783,5784,5788,5787,21.938631057739258
19,S4R,5784,5785,5789,5788,16.866880416870117
20,S4R,5785,128,129,5789,10.711146354675293
21,S4R,210,5786,5790,209,62.15692138671875
22,S4R,5786,5787,5791,5790,36.75639724731445
23,S4R,5787,5788,5792,5791,21.223176956176758
24,S4R,5788,5789,5793,5792,17.141069412231445
25,S4R,5789,129,130,5793,11.552220344543457
26,S4R,209,5790,5794,208,62.41162872314453
27,S4R,5790,5791,5795,5794,36.06346893310547
28,S4R,5791,5792,5796,5795,21.6396484375
29,S4R,5792,5793,5797,5796,16.61555290222168
30,S4R,5793,130,131,5797,13.495216369628906
31,S4R,208,5794,5798,207,61.588829040527344
32,S4R,5794,5795,5799,5798,36.4777717590332
33,S4R,5795,5796,5800,5799,20.97726821899414
34,S4R,5796,5797,5801,5800,17.444211959838867
35,S4R,5797,131,132,5801,14.21357250213623
36,S4R,207,5798,5802,206,61.78314208984375
37,S4R,5798,5799,5803,5802,35.872657775878906
38,S4R,5799,5800,5804,5803,21.41094970703125
39,S4R,5800,5801,5805,5804,17.37271499633789
40,S4R,5801,132,133,5805,15.77534294128418
41,S4R,206,5802,5806,205,61.14147186279297
