node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
1,2577.1548,100.0,347.66788,0.26059583,-1.0562636,2.3537939,2.593057632446289,3.951114684343338,0.3783586844801903,0.0,4.654381424188614,1.5058389,-4.434955,10.231499,11.25255298614502,0
2,2577.1548,50.0,347.66788,0.31576768,-1.057264,2.4206972,2.660317897796631,6.71346253156662,0.24304375611245632,0.0,6.896832466125488,1.6238763,-4.4249034,10.411414,11.42866039276123,0
3,2583.3428,2600.0,298.2295,-0.094499126,-0.83823895,0.36468822,0.9190060496330261,0.22042233124375343,0.9758358523249626,0.0,0.9121910482645035,-0.73580873,-4.563362,2.5242777,5.266655921936035,0
4,2583.3428,2550.0,298.2295,-0.099422224,-0.8431439,0.38738453,0.9331898093223572,0.22532759234309196,0.9962533563375473,0.0,0.9286934360861778,-0.76298213,-4.562945,2.6545715,5.333794116973877,0
5,2583.3428,2500.0,298.2295,-0.10444295,-0.8481473,0.41042948,0.9480054974555969,0.23308617994189262,1.0159056782722473,0.0,0.9437855333089828,-0.7999858,-4.5626082,2.7887952,5.406916618347168,0
6,2583.3428,2450.0,298.2295,-0.1095082,-0.8532456,0.4338206,0.9634419679641724,0.2423554975539446,1.0351903960108757,0.0,0.9580176770687103,-0.82632107,-4.562718,2.9194725,5.479463577270508,0
7,2583.3428,2400.0,298.2295,-0.11461631,-0.8584395,0.45761114,0.9795219302177429,0.2499853353947401,1.0538666397333145,0.0,0.9719970226287842,-0.85929334,-4.562768,3.0547059,5.5577392578125,0
8,2583.3428,2350.0,298.2295,-0.11981775,-0.86371994,0.48177218,0.996229350566864,0.2593046221882105,1.0720998644828796,0.0,0.9854688793420792,-0.89623207,-4.562218,3.18731,5.637021541595459,0
9,2583.3428,2300.0,298.2295,-0.12500247,-0.869091,0.5063498,1.0135753154754639,0.2668772451579571,1.0899064093828201,0.0,0.9988787174224854,-0.9197773,-4.562002,3.3228831,5.718339920043945,0
10,2583.3428,2250.0,298.2295,-0.13025568,-0.87454766,0.5313482,1.0315672159194946,0.27492606081068516,1.1065091788768768,0.0,1.0109526440501213,-0.9587156,-4.5619264,3.458418,5.804391860961914,0
11,2583.3428,2200.0,298.2295,-0.13558194,-0.88008535,0.55677694,1.0502063035964966,0.2814722955226898,1.122277319431305,0.0,1.0228054895997047,-0.9807845,-4.5612826,3.5933795,5.88893985748291,0
12,2583.3428,2150.0,298.2295,-0.14082804,-0.88569784,0.58267486,1.0694873332977295,0.2862340956926346,1.1374901682138443,0.0,1.0346686244010925,-1.0231789,-4.5615344,3.7279077,5.9792799949646,0
13,2583.3428,2100.0,298.2295,-0.14619607,-0.8913862,0.6090299,1.0894310474395752,0.2964209280908108,1.152389869093895,0.0,1.0448093637824059,-1.0391096,-4.5624423,3.8628473,6.067719459533691,0
14,2583.3428,2050.0,298.2295,-0.15154296,-0.89714885,0.63587576,1.1100356578826904,0.3041336126625538,1.1661618053913116,0.0,1.0546543598175049,-1.0782418,-4.56312,3.9972408,6.161379814147949,0
15,2583.3428,2000.0,298.2295,-0.15682477,-0.9029747,0.66324353,1.1313042640686035,0.30399109050631523,1.178131103515625,0.0,1.0648805648088455,-1.0951298,-4.5628953,4.131738,6.252246379852295,0
16,2583.3428,1950.0,298.2295,-0.16209888,-0.9088527,0.69113284,1.1532362699508667,0.30405454337596893,1.1896207928657532,0.0,1.0745899081230164,-1.1249478,-4.56042,4.2677255,6.346370220184326,0
