step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.0021248396951705217,1.7750996050835965e-07,-4.622124833986163e-06
Step-Preload,0.00019999995129182935,0.008432326838374138,2.6895361315837363e-06,-1.3063920960121322e-05
Step-Preload,0.00029999989783391356,0.01878844015300274,1.2586871889652684e-05,-2.0191200746921822e-05
Step-Preload,0.0003999998443759978,0.03306007757782936,3.617861511884257e-05,-2.6549201720627025e-05
Step-Preload,0.000499999790918082,0.05111682415008545,7.947572885314003e-05,-3.285028651589528e-05
Step-Preload,0.0005999997374601662,0.07283186167478561,0.0001474694290664047,-3.990227560279891e-05
Step-Preload,0.0006999996840022504,0.0980820506811142,0.0002441974065732211,-4.8406469431938604e-05
Step-Preload,0.0007999996305443347,0.126747727394104,0.00037317787064239383,-5.89181981922593e-05
Step-Preload,0.0008999995770864189,0.1587124466896057,0.00053780572488904,-7.176528743002564e-05
Step-Preload,0.0009999994654208422,0.19386287033557892,0.0007415488944388926,-8.698118472239003e-05
Step-Preload,0.0010999994119629264,0.23208871483802795,0.0009879979770630598,-0.00010433755232952535
Step-Preload,0.0012045768089592457,0.27524280548095703,0.001295500318519771,-0.00012485237675718963
Step-Preload,0.00130457675550133,0.3194345533847809,0.0016411057440564036,-0.00014482166443485767
Step-Preload,0.0014045767020434141,0.3663783073425293,0.0020412392914295197,-0.0001644603762542829
Step-Preload,0.0015045765321701765,0.4159797430038452,0.0025000013411045074,-0.00018291214655619115
Step-Preload,0.001604576362296939,0.468142032623291,0.0030214297585189342,-0.0001991185563383624
Step-Preload,0.0017045761924237013,0.5227708220481873,0.0036093632224947214,-0.00021215475862845778
Step-Preload,0.0018045760225504637,0.579774022102356,0.004267354030162096,-0.00022138049826025963
Step-Preload,0.001904575852677226,0.6390619874000549,0.004998645279556513,-0.00022630665625911206
Step-Preload,0.0020045756828039885,0.7005469799041748,0.005806214176118374,-0.00022684430587105453
Step-Preload,0.002104575512930751,0.7641432881355286,0.006692843046039343,-0.00022337332484312356
Step-Preload,0.0022045753430575132,0.8297671675682068,0.007661215960979462,-0.00021642113279085606
Step-Preload,0.0023045751731842756,0.897336483001709,0.008713996037840843,-0.00020703057816717774
Step-Preload,0.002404575003311038,0.9667708873748779,0.009853892028331757,-0.00019640946993604302
Step-Preload,0.0025045748334378004,1.0379916429519653,0.011083672754466534,-0.00018586349324323237
Step-Preload,0.002604574663564563,1.11092209815979,0.012406147085130215,-0.00017679063603281975
Step-Preload,0.002704574493691325,1.1854870319366455,0.013824083842337132,-0.00017088954336941242
Step-Preload,0.0028045743238180876,1.2616140842437744,0.015340141020715237,-0.000168922619195655
Step-Preload,0.00290457415394485,1.3392326831817627,0.01695678010582924,-0.0001719453139230609
Step-Preload,0.0030045739840716124,1.4182747602462769,0.018676232546567917,-0.00018041451403405517
Step-Preload,0.0031045738141983747,1.498674750328064,0.020500509068369865,-0.00019428991072345525
Step-Preload,0.003204573644325137,1.5803691148757935,0.02243144065141678,-0.00021365287830121815
Step-Preload,0.0033045734744518995,1.6632966995239258,0.024470774456858635,-0.00023728814267087728
Step-Preload,0.003404573304578662,1.7473983764648438,0.02662024274468422,-0.0002640346938278526
Step-Preload,0.0035045731347054243,1.8326170444488525,0.028881661593914032,-0.0002923816500697285
Step-Preload,0.0036045729648321867,1.9188966751098633,0.03125693276524544,-0.00032075383933261037
Step-Preload,0.003704572794958949,2.006183385848999,0.033748023211956024,-0.00034730194602161646
Step-Preload,0.0038045726250857115,2.0944244861602783,0.03635687381029129,-0.0003704945556819439
Step-Preload,0.003904572455212474,2.183568239212036,0.039085257798433304,-0.00038851378485560417
Step-Preload,0.00400457251816988,2.2735652923583984,0.04193456098437309,-0.000400340068154037
Step-Preload,0.0041044894605875015,2.364290952682495,0.04490306228399277,-0.00040564429946243763
Step-Preload,0.004204323049634695,2.4556965827941895,0.047990452498197556,-0.00040358613478019834
Step-Preload,0.004304073750972748,2.5477359294891357,0.051195383071899414,-0.00039504363667219877
Step-Preload,0.0044037410989403725,2.640363931655884,0.05451532080769539,-0.0003804252191912383
Step-Preload,0.004503325559198856,2.73353910446167,0.05794641748070717,-0.0003612383734434843
Step-Preload,0.004602826666086912,2.827221155166626,0.061483439058065414,-0.00033908348996192217
Step-Preload,0.004702244885265827,2.921372890472412,0.06511979550123215,-0.00031595659675076604
Step-Preload,0.004801579751074314,3.0159590244293213,0.06884765625,-0.0002932141942437738
Step-Preload,0.00490083172917366,3.1109466552734375,0.07265812158584595,-0.00027380260871723294
Step-Preload,0.004999999888241291,3.2063040733337402,0.0765414759516716,-0.00025873255799524486
Step-Separation,0.0,3.2063040733337402,0.0765414759516716,-0.0002587288327049464
Step-Separation,0.001099999062716961,4.286752223968506,0.12177379429340363,-0.000464124430436641
Step-Separation,0.0020045756828039885,5.193691253662109,0.15593396127223969,-0.00037951659760437906
Step-Separation,0.0030045739840716124,6.197768211364746,0.18267908692359924,-0.0003915653214789927
Step-Separation,0.00400457251816988,7.189999580383301,0.19159121811389923,-0.000519425724633038
Step-Separation,0.005004570819437504,8.158284187316895,0.181099995970726,-0.00035152031341567636
Step-Separation,0.006004569120705128,9.089278221130371,0.15688671171665192,-0.0006006300100125372
Step-Separation,0.007004567421972752,9.974321365356445,0.12624388933181763,-0.00037795858224853873
Step-Separation,0.008004565723240376,10.806408882141113,0.0954858809709549,-0.0005795098841190338
Step-Separation,0.009004564024508,11.58348274230957,0.06940925866365433,-0.0004703536396846175
Step-Separation,0.010004562325775623,12.306230545043945,0.049812667071819305,-0.0004934485768899322
Step-Separation,0.011004560627043247,12.978008270263672,0.03656537085771561,-0.0005751082790084183
Step-Separation,0.012004558928310871,13.602450370788574,0.02929697558283806,-0.00042441498953849077
Step-Separation,0.013004557229578495,14.182099342346191,0.027408858761191368,-0.0006285601411946118
Step-Separation,0.014004555530846119,14.719738960266113,0.030268469825387,-0.00042361783562228084
Step-Separation,0.015004553832113743,15.215478897094727,0.037296026945114136,-0.000601843639742583
Step-Separation,0.01600455306470394,15.67103385925293,0.04771355539560318,-0.0004905274836346507
Step-Separation,0.017004551365971565,16.087425231933594,0.06080154329538345,-0.0005285426741465926
Step-Separation,0.01800454966723919,16.466989517211914,0.07554325461387634,-0.0005717400927096605
Step-Separation,0.019004547968506813,16.812973022460938,0.09009900689125061,-0.0004661610582843423
Step-Separation,0.020004546269774437,17.12840461730957,0.1022479236125946,-0.0006127906963229179
Step-Separation,0.02100454457104206,17.416975021362305,0.1100144162774086,-0.00045380883966572583
Step-Separation,0.022004542872309685,17.680747985839844,0.11211702972650528,-0.0005975936655886471
Step-Separation,0.02300454117357731,17.922231674194336,0.10862766951322556,-0.0005017822259105742
Step-Separation,0.024004539474844933,18.14239501953125,0.10096288472414017,-0.0005456476355902851
Step-Separation,0.025004537776112556,18.342636108398438,0.0910010039806366,-0.0005623254110105336
Step-Separation,0.02600453607738018,18.524246215820312,0.08047362416982651,-0.0004979998921044171
Step-Separation,0.027004534378647804,18.68844223022461,0.07073604315519333,-0.0005961544811725616
Step-Separation,0.028004532679915428,18.8372859954834,0.06264892965555191,-0.00048304282245226204
Step-Separation,0.029004530981183052,18.972074508666992,0.05674177035689354,-0.0005887686274945736
Step-Separation,0.030004529282450676,19.094764709472656,0.05334142595529556,-0.0005128281190991402
Step-Separation,0.0310045275837183,19.206342697143555,0.052527908235788345,-0.0005516274250112474
Step-Separation,0.03200453892350197,19.30795669555664,0.05410792678594589,-0.0005547922337427735
Step-Separation,0.033004555851221085,19.400304794311523,0.057640280574560165,-0.0005199325387366116
Step-Separation,0.0340045727789402,19.4838809967041,0.06255871057510376,-0.0005889410385861993
Step-Separation,0.03500458970665932,19.559558868408203,0.06829123198986053,-0.0005101638380438089
Step-Separation,0.03600460663437843,19.627716064453125,0.07423119246959686,-0.0005922105046920478
Step-Separation,0.03700462356209755,19.68941307067871,0.07968796044588089,-0.0005281788180582225
Step-Separation,0.038004640489816666,19.745153427124023,0.08397490531206131,-0.0005668231169693172
