step,time_s,instance,u_mag_max_mm,u_x_max_mm,u_y_max_mm,u_z_max_mm,v_mag_max_mm_s,s_mises_max_MPa
Step-Preload,0.0,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,PSS-CORE,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,PSS-INNERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,PSS-OUTERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q1-CORE,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q1-INNERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q1-OUTERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q2-CORE,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q2-INNERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q2-OUTERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.00029999989783391356,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.00029999989783391356,PSS-CORE,2.386880623816978e-06,-4.333808e-14,-2.3868806e-06,4.847831e-13,0.015826432034373283,4.4754913687938824e-05
Step-Preload,0.00029999989783391356,PSS-INNERSKIN,2.3862753550929483e-06,-1.4142576e-09,-2.386275e-06,-9.0095154e-11,0.01582634449005127,0.00040073745185509324
Step-Preload,0.00029999989783391356,PSS-OUTERSKIN,2.387662334513152e-06,7.674224e-11,-2.387662e-06,-1.318555e-09,0.015830494463443756,0.0004009757249150425
Step-Preload,0.00029999989783391356,Q1-CORE,2.9393879685812863e-06,-1.8837975e-15,-2.939388e-06,9.8355035e-15,0.019491804763674736,5.533959779313591e-08
Step-Preload,0.00029999989783391356,Q1-INNERSKIN,2.9397631351457676e-06,-1.0007383e-09,-2.9397627e-06,-1.2611502e-09,0.01949550211429596,5.937307605563547e-07
Step-Preload,0.00029999989783391356,Q1-OUTERSKIN,2.939467776741367e-06,-3.616028e-13,-2.9394678e-06,1.8473232e-13,0.019492240622639656,8.089115226539434e-07
Step-Preload,0.00029999989783391356,Q2-CORE,2.939387741207611e-06,1.1514014e-13,-2.9393877e-06,-5.1156307e-13,0.019491806626319885,5.525616586510296e-08
Step-Preload,0.00029999989783391356,Q2-INNERSKIN,2.9397626803984167e-06,-8.251646e-11,-2.9397622e-06,1.6142083e-09,0.019495520740747452,5.94485698002245e-07
