step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.002019044943153858,6.503283689340833e-09,-4.197860562271671e-06
Step-Preload,0.00019999995129182935,0.008015505969524384,9.914205634231621e-08,-1.176956357085146e-05
Step-Preload,0.00029999989783391356,0.01786937564611435,4.6517899932041473e-07,-1.8013291992247105e-05
Step-Preload,0.0003999998443759978,0.031463176012039185,1.3273005379232927e-06,-2.353564377699513e-05
Step-Preload,0.000499999790918082,0.048682089895009995,2.8487390864029294e-06,-2.9039847504463978e-05
Step-Preload,0.0005999997374601662,0.06941409409046173,5.052408596384339e-06,-3.5270782973384485e-05
Step-Preload,0.0006999996840022504,0.09355003386735916,7.779366569593549e-06,-4.286579496692866e-05
Step-Preload,0.0007999996305443347,0.12098360806703568,1.0700214261305518e-05,-5.234416312305257e-05
Step-Preload,0.0008999995770864189,0.1516113579273224,1.3377720279095229e-05,-6.402435974450782e-05
Step-Preload,0.0009999994654208422,0.18533259630203247,1.5364237697212957e-05,-7.792781252646819e-05
Step-Preload,0.0010999994119629264,0.22204917669296265,1.6307523765135556e-05,-9.384997247252613e-05
Step-Preload,0.0012046432821080089,0.2635791599750519,1.599397000973113e-05,-0.0001127321957028471
Step-Preload,0.001304643228650093,0.3061353862285614,1.4510423170577269e-05,-0.00013120280345901847
Step-Preload,0.0014046431751921773,0.35139787197113037,1.213976247527171e-05,-0.0001493553281761706
Step-Preload,0.0015046430053189397,0.3992825150489807,9.292759386880789e-06,-0.00016643988783471286
Step-Preload,0.001604642835445702,0.449702650308609,6.42437544229324e-06,-0.00018143841589335352
Step-Preload,0.0017046426655724645,0.502573549747467,3.930671937268926e-06,-0.00019349517242517322
Step-Preload,0.0018046424956992269,0.5578125715255737,2.067667310257093e-06,-0.00020195661636535078
Step-Preload,0.0019046423258259892,0.6153388619422913,9.125315614255669e-07,-0.00020642053277697414
Step-Preload,0.0020046422723680735,0.6750734448432922,3.7495345850402373e-07,-0.00020678142027463764
Step-Preload,0.002104642102494836,0.7369389533996582,2.5222703925464884e-07,-0.00020331311679910868
Step-Preload,0.0022046419326215982,0.8008595108985901,3.0969013664616796e-07,-0.00019664262072183192
Step-Preload,0.0023046417627483606,0.866760790348053,3.6190198215990677e-07,-0.0001876120368251577
Step-Preload,0.002404641592875123,0.934569776058197,3.308225018372468e-07,-0.00017740574548952281
Step-Preload,0.0025046414230018854,1.0042150020599365,2.648027930263197e-07,-0.00016738526755943894
Step-Preload,0.002604641253128648,1.0756266117095947,3.1413398460244935e-07,-0.00015868352784309536
Step-Preload,0.00270464108325541,1.1487360000610352,6.717755240970291e-07,-0.00015288818394765258
Step-Preload,0.0028046411462128162,1.2234771251678467,1.4980101923356415e-06,-0.00015090439410414547
Step-Preload,0.0029046409763395786,1.2997853755950928,2.8523065793706337e-06,-0.00015370463370345533
Step-Preload,0.0030046410392969847,1.377598524093628,4.653440100810258e-06,-0.00016153590695466846
Step-Preload,0.0031046411022543907,1.4568560123443604,6.680570095340954e-06,-0.00017470287275500596
Step-Preload,0.003204640932381153,1.5374999046325684,8.616014383733273e-06,-0.00019291970238555223
Step-Preload,0.0033046407625079155,1.6194735765457153,1.0118277714354917e-05,-0.00021532087703235447
Step-Preload,0.003404640592634678,1.7027229070663452,1.0905142517003696e-05,-0.00024077677517198026
Step-Preload,0.0035046404227614403,1.7871947288513184,1.0823770026036073e-05,-0.0002677974698599428
Step-Preload,0.0036046402528882027,1.8728376626968384,9.888642125588376e-06,-0.00029481889214366674
Step-Preload,0.003704640083014965,1.9596012830734253,8.277283086499665e-06,-0.000320221995934844
Step-Preload,0.0038046399131417274,2.047436475753784,6.285465133260004e-06,-0.0003422396257519722
Step-Preload,0.00390463974326849,2.1362953186035156,4.254594841768267e-06,-0.0003596401074901223
Step-Preload,0.004004639573395252,2.226130723953247,2.491233999535325e-06,-0.00037121534114703536
Step-Preload,0.004104555118829012,2.316819190979004,1.2011940953016165e-06,-0.00037616334157064557
Step-Preload,0.004204386379569769,2.408313274383545,4.504801722760021e-07,-0.00037441792665049434
Step-Preload,0.004304133355617523,2.500566005706787,1.7121016071541817e-07,-0.00036614370765164495
Step-Preload,0.004403796046972275,2.5935323238372803,2.0120536703416292e-07,-0.0003525383654050529
Step-Preload,0.004503374453634024,2.687167167663574,3.4576419238874223e-07,-0.00033444471773691475
Step-Preload,0.0046028681099414825,2.7814273834228516,4.427379565186129e-07,-0.0003133363206870854
Step-Preload,0.004702277481555939,2.876269578933716,4.1198012468157685e-07,-0.00029150626505725086
Step-Preload,0.004801602568477392,2.971652030944824,2.755826358225022e-07,-0.00027044498710893095
Step-Preload,0.004900843370705843,3.0675346851348877,1.443320201133247e-07,-0.000251725607085973
Step-Preload,0.004999999888241291,3.163877487182617,1.7577886524122732e-07,-0.00023804407101124525
Step-Separation,0.0,3.163877487182617,1.7577887945208204e-07,-0.00023813347797840834
Step-Separation,0.0010999991791322827,4.259194374084473,4.265683855919633e-06,-0.0004431673150975257
Step-Separation,0.00200464203953743,5.179387092590332,6.548122541971679e-07,-0.0003640438662841916
Step-Separation,0.0030046405736356974,6.194186687469482,4.643088232114678e-06,-0.0003776344528887421
Step-Separation,0.004004639107733965,7.189981937408447,4.391719699015084e-07,-0.0005045955185778439
Step-Separation,0.005004637409001589,8.154736518859863,1.2657956176553853e-06,-0.00033211318077519536
Step-Separation,0.006004635710269213,9.079109191894531,3.2491664114786545e-07,-0.0005805390537716448
Step-Separation,0.007004634011536837,9.958293914794922,2.1881565714920725e-07,-0.000352846720488742
Step-Separation,0.008004632778465748,10.787960052490234,1.3068962516626925e-06,-0.0005558526027016342
Step-Separation,0.009004631079733372,11.567198753356934,9.74063596004271e-07,-0.0004461628559511155
Step-Separation,0.010004629381000996,12.295177459716797,1.3154958651284687e-06,-0.0004712176159955561
Step-Separation,0.01100462768226862,12.972635269165039,7.720104804320727e-07,-0.0005535408272407949
Step-Separation,0.012004625983536243,13.601177215576172,3.107710142558062e-07,-0.00040129508124664426
Step-Separation,0.013004624284803867,14.182082176208496,1.330709409330666e-07,-0.0006057965219952166
Step-Separation,0.014004622586071491,14.718299865722656,2.319570455711073e-07,-0.00039934454252943397
Step-Separation,0.015004620887339115,15.211435317993164,2.078320591181182e-07,-0.0005786590045318007
Step-Separation,0.016004620119929314,15.664706230163574,8.802971365184931e-07,-0.00046521396143361926
Step-Separation,0.017004618421196938,16.080211639404297,2.8463333023864834e-07,-0.0005034809582866728
Step-Separation,0.01800461672246456,16.460674285888672,8.161528626260406e-07,-0.0005461041000671685
Step-Separation,0.019004615023732185,16.808725357055664,5.782660394970662e-08,-0.0004398142918944359
Step-Separation,0.02000461332499981,17.12639045715332,2.52789931209918e-07,-0.0005891090841032565
Step-Separation,0.021004611626267433,17.416536331176758,2.4397516540375364e-07,-0.000429855048423633
Step-Separation,0.022004609927535057,17.680747985839844,4.336866865628508e-08,-0.0005735845188610256
Step-Separation,0.02300460822880268,17.92164421081543,7.458485242750612e-07,-0.0004732226370833814
Step-Separation,0.024004606530070305,18.140766143798828,6.354167680910905e-08,-0.0005187281058169901
Step-Separation,0.02500460483133793,18.340116500854492,7.82387701292464e-07,-0.0005306448438204825
Step-Separation,0.026004603132605553,18.52141571044922,6.840093647042522e-08,-0.0004681780410464853
Step-Separation,0.027004601433873177,18.685993194580078,3.9451177258342796e-07,-0.000569656491279602
Step-Separation,0.0280045997351408,18.835660934448242,2.87200151660727e-07,-0.00045579965808428824
Step-Separation,0.029004598036408424,18.971324920654297,1.3288970990288362e-07,-0.0005599045543931425
Step-Separation,0.03000459633767605,19.094615936279297,6.446971951845626e-07,-0.00048309832345694304
Step-Separation,0.031004594638943672,19.20633888244629,8.699053211103092e-08,-0.0005241871112957597
Step-Separation,0.03200460597872734,19.307706832885742,7.131910138014064e-07,-0.0005283284117467701
Step-Separation,0.03300462290644646,19.399642944335938,1.294401812401702e-07,-0.0004895725869573653
Step-Separation,0.03400463983416557,19.482879638671875,4.6298202960315393e-07,-0.0005583796300925314
Step-Separation,0.03500465676188469,19.55845069885254,3.055747868074832e-07,-0.00047675883979536593
Step-Separation,0.036004673689603806,19.62677001953125,2.2712771396982134e-07,-0.0005564687890000641
Step-Separation,0.03700469061732292,19.688793182373047,5.517887871064886e-07,-0.0004941549268551171
Step-Separation,0.03800470754504204,19.744873046875,1.4602255760109983e-07,-0.0005317542236298323
Step-Separation,0.039004724472761154,19.79570770263672,6.218953672032512e-07,-0.0005229339003562927
Step-Separation,0.04000474140048027,19.84174346923828,1.7493775317234395e-07,-0.0005071689956821501
Step-Separation,0.04100475832819939,19.88336944580078,4.696433961726143e-07,-0.0005445449496619403
Step-Separation,0.0420047752559185,19.921142578125,3.0397308137253276e-07,-0.0004867754178121686
Step-Separation,0.04300479218363762,19.955228805541992,2.85454717641187e-07,-0.0005456838407553732
Step-Separation,0.044004809111356735,19.98617935180664,4.7478653186772135e-07,-0.0004963805549778044
Step-Separation,0.04500482603907585,20.014118194580078,1.9948450358242553e-07,-0.0005240743630565703
Step-Separation,0.04600484296679497,20.03944206237793,5.403903173828439e-07,-0.0005130046629346907
Step-Separation,0.047004856169223785,20.062353134155273,2.117963617820351e-07,-0.0005064192810095847
Step-Separation,0.0480048730969429,20.083057403564453,4.537654376690625e-07,-0.0005273965070955455
Step-Separation,0.04900489002466202,20.101844787597656,3.0295666419988265e-07,-0.0004951222217641771
Step-Separation,0.050004906952381134,20.1187744140625,3.2208430411628797e-07,-0.0005284815561026335
Step-Separation,0.05100492388010025,20.13416290283203,4.2383535969747754e-07,-0.00049309351015836
Step-Separation,0.052004940807819366,20.14802360534668,2.456691561292246e-07,-0.0005202126922085881
Step-Separation,0.05300495773553848,20.160602569580078,4.811276994587388e-07,-0.000512824219185859
Step-Separation,0.0540049746632576,20.171972274780273,2.46180889007519e-07,-0.0005035221111029387
Step-Separation,0.055004991590976715,20.182239532470703,4.360538241598988e-07,-0.0005262200138531625
Step-Separation,0.05600500851869583,20.191564559936523,3.08527859260721e-07,-0.000501551665365696
Step-Separation,0.05700502544641495,20.199953079223633,3.4602587106746796e-07,-0.000528216827660799
Step-Separation,0.058005042374134064,20.20758819580078,3.9456338640775357e-07,-0.0005048029706813395
Step-Separation,0.05900505930185318,20.214454650878906,2.8429832354959217e-07,-0.0005230329697951674
Step-Separation,0.060005076229572296,20.220693588256836,4.426620137110149e-07,-0.0005126224714331329
Step-Separation,0.061005089432001114,20.226322174072266,2.7765037202698295e-07,-0.0005118338740430772
Step-Separation,0.06200510635972023,20.231412887573242,4.218859999127744e-07,-0.0005188421928323805
Step-Separation,0.06300511956214905,20.236034393310547,3.191561575022206e-07,-0.0005039246752858162
Step-Separation,0.06400513648986816,20.240182876586914,3.6257839042264095e-07,-0.0005239085294306278
Step-Separation,0.06500515341758728,20.243972778320312,3.801023069627263e-07,-0.0005067249294370413
Step-Separation,0.0660051703453064,20.24736785888672,3.1480357165492023e-07,-0.0005208570510149002
Step-Separation,0.06700518727302551,20.250459671020508,4.1888557689162553e-07,-0.0005088320467621088
Step-Separation,0.06800520420074463,20.253246307373047,3.047788368348847e-07,-0.0005110919591970742
Step-Separation,0.06900522112846375,20.255767822265625,4.1140737039313535e-07,-0.000513607868924737
Step-Separation,0.07000523805618286,20.258054733276367,3.308845748506428e-07,-0.0005082047428004444
Step-Separation,0.07100525498390198,20.260107040405273,3.729345507963444e-07,-0.0005184145993553102
Step-Separation,0.0720052719116211,20.261987686157227,3.7359632187872194e-07,-0.0005084002041257918
Step-Separation,0.07300528883934021,20.263662338256836,3.3706439239722386e-07,-0.0005222649197094142
Step-Separation,0.07400530576705933,20.26519775390625,4.0369189946432016e-07,-0.00051218451699242
Step-Separation,0.07500532269477844,20.266576766967773,3.2579058029114094e-07,-0.000520606990903616
Step-Separation,0.07600533962249756,20.267822265625,4.0300520254277217e-07,-0.0005148075288161635
Step-Separation,0.07700535655021667,20.268957138061523,3.4128080983464315e-07,-0.0005129618220962584
Step-Separation,0.07800537347793579,20.26997184753418,3.782802195928525e-07,-0.0005086331511847675
Step-Separation,0.07900539040565491,20.270904541015625,3.70448702824433e-07,-0.000514124461915344
Step-Separation,0.08000540733337402,20.271730422973633,3.5176640267309267e-07,-0.0005129509954713285
Step-Separation,0.08100542426109314,20.272493362426758,3.9329597711912356e-07,-0.000520777131896466
Step-Separation,0.08200544118881226,20.273174285888672,3.408664781545667e-07,-0.0005151075311005116
Step-Separation,0.08300545811653137,20.27379035949707,3.9573140497850545e-07,-0.0005126683972775936
Step-Separation,0.08400547504425049,20.27435302734375,3.4934441828227136e-07,-0.0005150989745743573
Step-Separation,0.0850054919719696,20.27485466003418,3.802596211244236e-07,-0.0005057697417214513
Step-Separation,0.08600550889968872,20.27531623840332,3.6908423339809815e-07,-0.0005093571962788701
Step-Separation,0.08700552582740784,20.275724411010742,3.610762178141158e-07,-0.0005093652289360762
Step-Separation,0.08800554275512695,20.276103973388672,3.861358095491596e-07,-0.0004995649796910584
Step-Separation,0.08900555968284607,20.276437759399414,3.5155136401954223e-07,-0.0005131894140504301
Step-Separation,0.09000557661056519,20.276744842529297,3.9005968233141175e-07,-0.0005114819505251944
Step-Separation,0.0910055935382843,20.277023315429688,3.559230208338704e-07,-0.0005072245257906616
Step-Separation,0.09200561046600342,20.27726936340332,3.808987685260945e-07,-0.0005281802732497454
Step-Separation,0.09300562739372253,20.277498245239258,3.6938999414815044e-07,-0.0005081645795144141
Step-Separation,0.09400564432144165,20.27770233154297,3.6767232813872397e-07,-0.0005193718825466931
Step-Separation,0.09500566124916077,20.27788734436035,3.822680412213231e-07,-0.0005198339931666851
Step-Separation,0.09600567817687988,20.278053283691406,3.599758713335177e-07,-0.0005301082273945212
Step-Separation,0.097005695104599,20.27820587158203,3.866389022277872e-07,-0.0005288893589749932
Step-Separation,0.09800571203231812,20.278345108032227,3.619740027716034e-07,-0.0005436959327198565
Step-Separation,0.09900572896003723,20.278465270996094,3.81571169327799e-07,-0.0005343779339455068
Step-Separation,0.10000574588775635,20.278579711914062,3.7103038152963563e-07,-0.0005227058427408338
Step-Separation,0.10100576281547546,20.27867889404297,3.725940018739493e-07,-0.0005141211440786719
Step-Separation,0.10200577974319458,20.278772354125977,3.8064257523728884e-07,-0.0005205503548495471
Step-Separation,0.1030057966709137,20.278852462768555,3.666991119644081e-07,-0.0005160342552699149
Step-Separation,0.10400581359863281,20.2789306640625,3.8492461840178294e-07,-0.0005071944906376302
Step-Separation,0.10500583052635193,20.278995513916016,3.6741468534273736e-07,-0.0005250933463685215
Step-Separation,0.10600584745407104,20.279056549072266,3.824916916528309e-07,-0.0005255550495348871
Step-Separation,0.10700586438179016,20.279115676879883,3.7356306847868836e-07,-0.000539630651473999
