step,time_s,instance,u_mag_max_mm,u_x_max_mm,u_y_max_mm,u_z_max_mm,v_mag_max_mm_s,s_mises_max_MPa
Step-Preload,0.0,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q1-CORE,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q1-INNERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q1-OUTERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q2-CORE,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q2-INNERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0,Q2-OUTERSKIN,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.00029999989783391356,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.00029999989783391356,Q1-CORE,2.939386831712909e-06,-3.849629e-13,-2.9393868e-06,1.0493416e-13,0.019491801038384438,5.5349023142525766e-08
Step-Preload,0.00029999989783391356,Q1-INNERSKIN,2.9397610887826886e-06,-8.247627e-11,-2.9397606e-06,-1.6141284e-09,0.019495509564876556,5.947119916527299e-07
Step-Preload,0.00029999989783391356,Q1-OUTERSKIN,2.9394670946203405e-06,-7.381982e-13,-2.939467e-06,3.879753e-13,0.01949223503470421,8.092429197859019e-07
Step-Preload,0.00029999989783391356,Q2-CORE,2.93938728646026e-06,-1.26751e-12,-2.9393873e-06,3.043614e-13,0.019491801038384438,5.526797153265761e-08
Step-Preload,0.00029999989783391356,Q2-INNERSKIN,2.939762225651066e-06,-1.613982e-09,-2.9397618e-06,8.24934e-11,0.019495517015457153,5.947582621956826e-07
Step-Preload,0.00029999989783391356,Q2-OUTERSKIN,2.9394695957307704e-06,-5.5213175e-13,-2.9394696e-06,1.2483245e-13,0.019492246210575104,8.108819997687533e-07
Step-Preload,0.0005999997374601662,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0005999997374601662,Q1-CORE,1.1643006473605055e-05,-6.8090654e-14,-1.16430065e-05,-2.5069923e-13,0.03842349350452423,3.570682451936591e-07
Step-Preload,0.0005999997374601662,Q1-INNERSKIN,1.1646454368019477e-05,-1.1072775e-09,-1.1646434e-05,-2.1605308e-08,0.03843614086508751,2.330929191884934e-06
Step-Preload,0.0005999997374601662,Q1-OUTERSKIN,1.164320383395534e-05,2.4140444e-13,-1.1643204e-05,-7.5802163e-13,0.03841520473361015,2.3238096673594555e-06
Step-Preload,0.0005999997374601662,Q2-CORE,1.1643008292594459e-05,-6.537438e-14,-1.1643008e-05,3.57993e-13,0.03842349350452423,3.5708953305402247e-07
Step-Preload,0.0005999997374601662,Q2-INNERSKIN,1.1646457096503582e-05,-2.1611605e-08,-1.1646437e-05,1.0875693e-09,0.03843614086508751,2.3306120056076907e-06
Step-Preload,0.0005999997374601662,Q2-OUTERSKIN,1.1643211109912954e-05,1.2979407e-13,-1.1643211e-05,7.0597483e-13,0.03841523081064224,2.322638692930923e-06
Step-Preload,0.0007999996305443347,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0007999996305443347,Q1-CORE,2.0564606529660523e-05,-2.7492308e-09,-2.0564537e-05,-5.3806634e-08,0.05075051262974739,6.769475362489175e-07
Step-Preload,0.0007999996305443347,Q1-INNERSKIN,2.0572097128024325e-05,-2.7490974e-09,-2.0572026e-05,-5.3806733e-08,0.05076099932193756,4.066290784976445e-06
Step-Preload,0.0007999996305443347,Q1-OUTERSKIN,2.0562441932270303e-05,1.9700706e-14,-2.0562442e-05,3.38711e-13,0.050715669989585876,3.11864141622209e-06
Step-Preload,0.0007999996305443347,Q2-CORE,2.056461016763933e-05,-2.746951e-09,-2.056454e-05,5.3811274e-08,0.05075051262974739,6.770113714082981e-07
Step-Preload,0.0007999996305443347,Q2-INNERSKIN,2.0572097128024325e-05,-2.746825e-09,-2.0572026e-05,5.3811377e-08,0.05076100304722786,4.06632398153306e-06
Step-Preload,0.0007999996305443347,Q2-OUTERSKIN,2.0562456484185532e-05,-1.0958692e-12,-2.0562456e-05,-1.0240488e-12,0.050715673714876175,3.1273295917344512e-06
Step-Preload,0.0010999994119629264,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0010999994119629264,Q1-CORE,3.851327710435726e-05,-1.257309e-07,-3.8513073e-05,-5.152661e-09,0.0687972754240036,9.410456982550386e-07
Step-Preload,0.0010999994119629264,Q1-INNERSKIN,3.852288136840798e-05,-1.2573098e-07,-3.8522678e-05,-5.1531277e-09,0.06880029290914536,8.06915522844065e-06
Step-Preload,0.0010999994119629264,Q1-OUTERSKIN,3.8492966268677264e-05,-2.0304797e-13,-3.8492966e-05,-1.818854e-13,0.06871544569730759,5.3891822062723804e-06
Step-Preload,0.0010999994119629264,Q2-CORE,3.8513280742336065e-05,-1.2573115e-07,-3.8513077e-05,5.1415316e-09,0.068797267973423,9.41122721087595e-07
Step-Preload,0.0010999994119629264,Q2-INNERSKIN,3.8522888644365594e-05,-1.2573122e-07,-3.8522685e-05,5.1419615e-09,0.06880029290914536,8.082283784460742e-06
Step-Preload,0.0010999994119629264,Q2-OUTERSKIN,3.8492991734528914e-05,-3.5468427e-13,-3.849299e-05,-1.7784286e-13,0.068715400993824,5.39482471140218e-06
Step-Preload,0.001304643228650093,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.001304643228650093,Q1-CORE,5.382622475735843e-05,-1.8419202e-07,-5.382591e-05,-7.0877144e-09,0.0807919055223465,9.983865538742975e-07
Step-Preload,0.001304643228650093,Q1-INNERSKIN,5.383585812523961e-05,-1.8419239e-07,-5.383554e-05,-7.0870794e-09,0.08078933507204056,1.2039603461744264e-05
Step-Preload,0.001304643228650093,Q1-OUTERSKIN,5.3785879572387785e-05,-4.4393697e-11,-5.378588e-05,-6.8859175e-11,0.08068618178367615,9.292280992667656e-06
Step-Preload,0.001304643228650093,Q2-CORE,5.382622839533724e-05,-1.8418595e-07,-5.3825912e-05,7.0605326e-09,0.0807919055223465,9.968429139917134e-07
Step-Preload,0.001304643228650093,Q2-INNERSKIN,5.3835865401197225e-05,-1.8418632e-07,-5.383555e-05,7.0598554e-09,0.08078933507204056,1.2041688023600727e-05
Step-Preload,0.001304643228650093,Q2-OUTERSKIN,5.3785890486324206e-05,-5.415199e-11,-5.378589e-05,6.077539e-11,0.08068619668483734,9.307342224929016e-06
Step-Preload,0.0015046430053189397,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0015046430053189397,Q1-CORE,7.113728497643024e-05,-2.4271498e-07,-7.113686e-05,-1.5275651e-08,0.09225758165121078,1.0036235380539438e-06
Step-Preload,0.0015046430053189397,Q1-INNERSKIN,7.114592153811827e-05,-2.4272464e-07,-7.114551e-05,-1.5256463e-08,0.09225109219551086,1.7314270735369064e-05
Step-Preload,0.0015046430053189397,Q1-OUTERSKIN,7.107532292138785e-05,-2.1606e-10,-7.107532e-05,-1.6650237e-10,0.0921521931886673,1.3671822671312839e-05
Step-Preload,0.0015046430053189397,Q2-CORE,7.113728497643024e-05,-2.4270997e-07,-7.113686e-05,1.526127e-08,0.09225758165121078,1.0019236924563302e-06
Step-Preload,0.0015046430053189397,Q2-INNERSKIN,7.114592881407589e-05,-2.4271964e-07,-7.1145514e-05,1.524203e-08,0.09225108474493027,1.733995486574713e-05
Step-Preload,0.0015046430053189397,Q2-OUTERSKIN,7.10753447492607e-05,-1.6759515e-10,-7.1075345e-05,2.175862e-10,0.0921521931886673,1.3664891412190627e-05
Step-Preload,0.0018046424956992269,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0018046424956992269,Q1-CORE,0.0001013413566397503,-3.3722122e-07,-0.00010134079,-2.1504084e-08,0.1089947372674942,9.822447282203939e-07
Step-Preload,0.0018046424956992269,Q1-INNERSKIN,0.00010134770127478987,-3.3723e-07,-0.000101347134,-2.1466604e-08,0.10898753255605698,2.700915138120763e-05
Step-Preload,0.0018046424956992269,Q1-OUTERSKIN,0.000101251425803639,7.4707496e-10,-0.000101251426,5.619138e-10,0.10892052203416824,2.0288558516767807e-05
Step-Preload,0.0018046424956992269,Q2-CORE,0.0001013413566397503,-3.37211e-07,-0.00010134079,2.152992e-08,0.1089949682354927,9.799980489333393e-07
Step-Preload,0.0018046424956992269,Q2-INNERSKIN,0.0001013477158267051,-3.3721975e-07,-0.00010134715,2.1492426e-08,0.10898775607347488,2.7068614144809544e-05
Step-Preload,0.0018046424956992269,Q2-OUTERSKIN,0.00010125145490746945,-5.6361105e-10,-0.000101251455,7.503479e-10,0.10892053693532944,2.029807546932716e-05
Step-Preload,0.0020046422723680735,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0020046422723680735,Q1-CORE,0.00012423237785696983,-3.994322e-07,-0.00012423174,-2.6591119e-08,0.11987854540348053,1.0021641401181114e-06
Step-Preload,0.0020046422723680735,Q1-INNERSKIN,0.00012423745647538453,-3.9944078e-07,-0.00012423682,-2.65391e-08,0.11987157166004181,3.2771858968771994e-05
Step-Preload,0.0020046422723680735,Q1-OUTERSKIN,0.00012413064541760832,-1.5464026e-09,-0.00012413065,-7.6177326e-10,0.11981961131095886,2.406736348348204e-05
Step-Preload,0.0020046422723680735,Q2-CORE,0.00012423237785696983,-3.9942157e-07,-0.00012423174,2.6608935e-08,0.11987852305173874,1.0084995665238239e-06
Step-Preload,0.0020046422723680735,Q2-INNERSKIN,0.00012423747102729976,-3.994301e-07,-0.00012423683,2.6556922e-08,0.11987154185771942,3.278609801782295e-05
Step-Preload,0.0020046422723680735,Q2-OUTERSKIN,0.00012413064541760832,-9.92514e-10,-0.00012413065,1.3209353e-09,0.11981962621212006,2.4073973690974526e-05
Step-Preload,0.0023046417627483606,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0023046417627483606,Q1-CORE,0.00016259218682534993,-4.808518e-07,-0.00016259147,-4.3578872e-08,0.13580872118473053,9.828831935010385e-07
Step-Preload,0.0023046417627483606,Q1-INNERSKIN,0.000162596843438223,-4.8085764e-07,-0.00016259613,-4.351284e-08,0.13580916821956635,3.862351877614856e-05
Step-Preload,0.0023046417627483606,Q1-OUTERSKIN,0.00016248281463049352,4.1972283e-09,-0.00016248281,1.2159883e-09,0.13576604425907135,2.924697400885634e-05
