step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.002018603263422847,1.2652037639782066e-08,-4.131905825488502e-06
Step-Preload,0.00019999995129182935,0.008014539256691933,-1.9141107259201817e-05,-1.172370775748277e-05
Step-Preload,0.00029999989783391356,0.01786789298057556,-1.8770739188767038e-05,-1.799854180717375e-05
Step-Preload,0.0003999998443759978,0.031461201608181,-1.7916547221830115e-05,-2.3554161089123227e-05
Step-Preload,0.000499999790918082,0.0486796498298645,-1.6413236153312027e-05,-2.908652459154837e-05
Step-Preload,0.0005999997374601662,0.06941123306751251,-1.4234720765671227e-05,-3.53301948052831e-05
Step-Preload,0.0006999996840022504,0.0935467928647995,-1.153916400653543e-05,-4.290951255825348e-05
Step-Preload,0.0007999996305443347,0.12098003178834915,-8.65451329445932e-06,-5.235207572695799e-05
Step-Preload,0.0008999995770864189,0.15160749852657318,-6.011542154737981e-06,-6.396291428245604e-05
Step-Preload,0.0009999994654208422,0.18532851338386536,-4.047025868203491e-06,-7.775434642098844e-05
Step-Preload,0.0010999994119629264,0.22204488515853882,-3.103416929661762e-06,-9.355214569950476e-05
Step-Preload,0.001204699045047164,0.26359766721725464,-3.389562380107236e-06,-0.00011229384108446538
Step-Preload,0.0013046989915892482,0.30615532398223877,-4.824786174140172e-06,-0.00013058788317721337
Step-Preload,0.0014046989381313324,0.3514191210269928,-7.133238796086516e-06,-0.00014857739733997732
Step-Preload,0.0015046987682580948,0.3993050158023834,-9.912249879562296e-06,-0.00016550617874599993
Step-Preload,0.0016046985983848572,0.44972631335258484,-1.2713724572677165e-05,-0.0001803860068321228
Step-Preload,0.0017046984285116196,0.5025983452796936,-1.5147591511777136e-05,-0.00019236885418649763
Step-Preload,0.001804698258638382,0.5578383803367615,-1.6963089365162887e-05,-0.00020081338880117983
Step-Preload,0.0019046980887651443,0.6153656244277954,-1.8086286218021996e-05,-0.00020530683104880154
Step-Preload,0.0020046979188919067,0.6751009821891785,-1.8606890080263838e-05,-0.00020581223361659795
Step-Preload,0.002104697749018669,0.7369672060012817,-1.8722961613093503e-05,-0.00020250238594599068
Step-Preload,0.0022046975791454315,0.8008884787559509,-1.8662780348677188e-05,-0.0001960348745342344
Step-Preload,0.002304697409272194,0.8667902946472168,-1.860708653111942e-05,-0.00018726583220995963
Step-Preload,0.0024046972393989563,0.9345998167991638,-1.86328798008617e-05,-0.00017733804997988045
