node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
1,2577.1548,100.0,347.66788,-0.4837183,-1.4005677,3.2054882,3.5313918590545654,7.89920300245285,0.506841029971838,0.0,8.346299409866333,-2.1414819,-6.0325084,14.80061,16.125606536865234,0
2,2577.1548,50.0,347.66788,-0.48918536,-1.4017336,3.285136,3.6050350666046143,10.594788670539856,0.32022592425346375,0.0,10.724512457847595,-2.168616,-6.032459,15.034398,16.34400749206543,0
3,2583.3428,2600.0,298.2295,-0.10522453,-1.048253,0.4318726,1.1386046409606934,0.18183687888085842,1.6830001771450043,0.0,1.6427099108695984,-0.71742135,-6.0159984,3.3871257,6.9411492347717285,0
4,2583.3428,2550.0,298.2295,-0.10956118,-1.056733,0.46333802,1.1590385437011719,0.18936077505350113,1.7201084792613983,0.0,1.671679601073265,-0.7268998,-6.025178,3.5953197,7.053897857666016,0
5,2583.3428,2500.0,298.2295,-0.113859065,-1.0653898,0.4955593,1.1805076599121094,0.19207769632339478,1.7556720823049545,0.0,1.701162576675415,-0.7488964,-6.035375,3.8029172,7.1727800369262695,0
6,2583.3428,2450.0,298.2295,-0.11811405,-1.0742235,0.5285109,1.2030091285705566,0.19603778794407845,1.790304735302925,0.0,1.7296894639730453,-0.76105815,-6.0450153,4.01321,7.2957024574279785,0
7,2583.3428,2400.0,298.2295,-0.122318454,-1.083226,0.5622548,1.2265686988830566,0.20128033123910427,1.8237462937831879,0.0,1.75643889605999,-0.77750415,-6.054003,4.224892,7.423285961151123,0
8,2583.3428,2350.0,298.2295,-0.12645547,-1.0923936,0.5967987,1.2511928081512451,0.20638649724423885,1.8557701110839844,0.0,1.7822239249944687,-0.7916918,-6.063031,4.43908,7.555961608886719,0
9,2583.3428,2300.0,298.2295,-0.13058789,-1.1017134,0.63216364,1.2768933773040771,0.2148507423698902,1.8862625658512115,0.0,1.8053149431943893,-0.8072236,-6.0727873,4.653084,7.6929545402526855,0
10,2583.3428,2250.0,298.2295,-0.13464108,-1.111179,0.66838264,1.3036803007125854,0.2235230654478073,1.9152699410915375,0.0,1.8270297795534134,-0.82483685,-6.082334,4.870473,7.835601806640625,0
11,2583.3428,2200.0,298.2295,-0.1386353,-1.120787,0.7054761,1.3315705060958862,0.22958773747086525,1.9427705109119415,0.0,1.848651573061943,-0.83563834,-6.091379,5.087387,7.980269432067871,0
12,2583.3428,2150.0,298.2295,-0.14260869,-1.1305293,0.7434632,1.3605775833129883,0.23670760542154312,1.9685451835393906,0.0,1.868557095527649,-0.8506611,-6.1001844,5.307019,8.130210876464844,0
13,2583.3428,2100.0,298.2295,-0.14648809,-1.1403939,0.78237337,1.3907066583633423,0.245083749294281,1.9916978925466537,0.0,1.8858236074447632,-0.87101245,-6.1087637,5.527239,8.284082412719727,0
14,2583.3428,2050.0,298.2295,-0.15036656,-1.150363,0.8222091,1.4219609498977661,0.25055188313126564,2.0118254125118256,0.0,1.9017785489559174,-0.8815875,-6.1172414,5.748688,8.440690040588379,0
15,2583.3428,2000.0,298.2295,-0.15412721,-1.160422,0.86300886,1.4543447494506836,0.25817468762397766,2.030403345823288,0.0,1.9157907217741013,-0.8992835,-6.125279,5.9723945,8.602165222167969,0
16,2583.3428,1950.0,298.2295,-0.15797319,-1.1705757,0.9047686,1.4878875017166138,0.26579550467431545,2.0469236075878143,0.0,1.9282911121845245,-0.9202503,-6.133615,6.1943336,8.76572036743164,0
17,2583.3428,1900.0,298.2295,-0.1617053,-1.1807986,0.947532,1.5225803852081299,0.27277274429798126,2.0607269257307053,0.0,1.9389961510896683,-0.9355968,-6.1415005,6.4220753,8.9351224899292,0
